Quarter_Year,NI_Detached_Property_Price_Index,NI_SemiDetached_Property_Price_Index,NI_Terrace_Property_Price_Index,NI_Apartment_Price_Index,NI_Residential_Property_Price_Index
Q1 2005,95.46556032216,95.2310135463565,108.732153128148,115.384306588874,100.883607008445
Q2 2005,100.974498376986,100.344759060737,110.331949877497,111.858706124247,104.564663108586
Q3 2005,107.526236145206,105.316462088555,119.075898079676,117.101565397049,111.21900003999
Q4 2005,110.279730201836,109.715537960243,123.4653323719,120.647724573668,115.083964344342
Q1 2006,112.270506388397,112.975814760523,127.349035649227,127.304720841071,118.354129057434
Q2 2006,119.991338831082,124.217986242113,143.257629720274,134.203307717988,129.726197855915
Q3 2006,132.517912828257,137.684988031254,161.612162522436,152.466087957336,144.699357958248
Q4 2006,145.94062470088,154.641126980334,182.567115147694,174.744780556713,162.10671644486
Q1 2007,159.285815354865,171.056424442439,204.507574906238,192.55313944287,179.331577252263
Q2 2007,181.735234693052,188.662676992641,213.280211985008,206.097452843911,195.376816060002
Q3 2007,197.988967157844,191.951095048952,217.722944553222,205.643923780003,202.514862484592
Q4 2007,186.886411166426,181.670587551553,209.237757698681,202.647776984621,193.139547329106
Q1 2008,169.600634461361,169.550664242361,193.189214264588,197.672109791431,178.800993114685
Q2 2008,157.936422840623,162.777441507061,177.574917809364,188.938894616424,167.518326913947
Q3 2008,141.250788005671,144.393648629575,164.338197142255,171.049385495743,151.501659057165
Q4 2008,133.746822826415,131.13499799574,147.625186731653,155.802573466718,138.610159583624
Q1 2009,118.392378322313,119.77262137401,137.443766962629,141.427249135895,126.365578335717
Q2 2009,121.533842223645,121.242267596321,136.973555642157,140.7475867419,127.536236576255
Q3 2009,121.48269024815,121.190985570339,137.875577530447,141.878267085104,127.874527229442
Q4 2009,123.291955956595,122.190393224018,136.38133971843,138.629427418783,127.991514052081
Q1 2010,122.170895682741,116.377772743318,126.547936408267,135.057635395086,122.319710913509
Q2 2010,120.156395382755,118.031855523612,123.212902413293,133.09134482424,121.250091558852
Q3 2010,120.223387744443,115.277645504998,119.435534541635,132.866283673701,119.130624771525
Q4 2010,113.038975183733,110.37672825488,112.597236789357,116.023818669162,112.23641925197
Q1 2011,109.49563778346,104.676521465441,105.98578236612,117.020506297333,107.2867154943
Q2 2011,104.991169550025,104.96629547111,105.509567175738,110.934300518439,105.590773631448
Q3 2011,106.505198676269,102.31198237616,101.354563782756,110.189878071181,103.756899519799
Q4 2011,104.276565090853,99.7194024324294,97.9535551213755,104.882352093882,100.839205914012
Q1 2012,96.4846708644405,96.9084099149514,89.9165314439375,93.3876849836373,94.3859308575843
Q2 2012,97.1146212980754,93.4619289907224,92.5580664162582,97.433900617158,94.6338667700055
Q3 2012,93.983211064225,92.1610042541369,90.1485950457919,90.6872147677852,92.0189014089646
Q4 2012,91.0767086894214,90.2152061046862,87.7908133926263,90.7126806790597,89.8203012167016
Q1 2013,90.9393919529573,89.10621408735,84.4841674483956,83.6410992936054,87.8208025696281
Q2 2013,92.8376966702371,89.2579023788287,87.2609090509445,85.3428858656033,89.4442163198021
Q3 2013,93.9790069532586,91.4982412319914,89.6483906610624,84.9620655198753,91.1886132797459
Q4 2013,93.6620200257971,91.4364783410409,90.4653512829989,91.4353442622028,91.8328882862588
Q1 2014,94.6178499761154,93.4171132807937,92.6131233137864,90.903670847262,93.3569519686408
Q2 2014,98.0055763119363,96.4728187136604,95.6547045818975,93.5113792419995,96.4762503382135
Q3 2014,98.74789247637,98.5065170917213,97.9461564047428,97.7334971490673,98.356098288716
Q4 2014,100.639433998372,99.8461356086867,99.1111025577396,99.2157830749538,99.8287280206795
Q1 2015,100,100,100,100,100
Q2 2015,103.033480913423,103.426060113555,102.308150979328,104.473106760265,103.064897756165
Q3 2015,105.854203088928,106.214732339507,106.180953568534,106.443679690413,106.107484168423
Q4 2015,107.237935041984,105.793672709991,108.254400896362,106.935178367516,107.044819746007
Q1 2016,107.322164216095,104.666865371989,108.406088681945,111.696314594476,107.13066276528
Q2 2016,109.154333645224,109.677464806256,114.191166263419,113.439794091646,111.095368211858
Q3 2016,111.735430715027,111.464019045613,114.523636258018,111.591015272751,112.430632097907
Q4 2016,111.757011693786,110.720139988831,114.525323591489,118.1121523,112.72680747974
Q1 2017,112.055382234707,111.426212510087,113.451240339463,114.749504723958,112.480435797526
Q2 2017,113.173463457909,112.784927695652,116.704507295305,120.650076135288,114.637196724539
Q3 2017,114.679571071207,115.273884251194,118.263434126557,118.111374002223,116.169028477181
Q4 2017,115.016706441118,114.948323610821,120.274441342187,119.576336620803,116.821162284418
Q1 2018,117.063159451822,114.785388023396,120.07125890898,120.726348343637,117.443385628094
Q2 2018,116.696450318702,116.842251386098,123.089724895943,123.566494332808,119.068870763802
Q3 2018,119.286445765964,118.883046094873,126.642483658329,121.43422824619,121.344246476038
Q4 2018,120.638250509382,121.022572362697,127.659030699846,127.702715053241,123.277378910063
Q1 2019,119.044933155264,121.27583982356,125.583631601008,124.423844802727,122.078378966782
Q2 2019,121.323313752253,122.212592521067,126.402300347921,125.988522937786,123.454159571596
Q3 2019,124.309940488925,123.987938581419,130.184343054597,126.74241997808,126.047976588221
Q4 2019,124.381198886432,124.838246776354,130.492565813756,125.1498586578,126.321862819177
Q1 2020,124.89307359457,125.110200012501,130.838614212462,127.392313858752,126.845580311843
Q2 2020,123.62977572714,124.777455770795,133.95851029399,125.202535821701,126.952650832165
Q3 2020,127.891128691353,127.931284651865,132.941769490166,130.330523905392,129.550188745156
Q4 2020,131.26661415714,130.628405981127,138.644842161658,129.145879342781,132.931826973642
Q1 2021,133.814013564219,131.906710300959,138.680080805765,131.639957150794,134.382831490311
Q2 2021,139.682379967138,135.171037042419,143.737994737613,137.131050814257,139.105049676897
Q3 2021,142.348301083698,140.13642227601,151.047138117922,135.572792636759,143.408623926992
Q4 2021,142.886534693547,140.657519663873,149.632293186057,134.95698448402,143.386563572335
Q1 2022,148.479224229547,144.110235626566,152.744443686106,141.781498758047,147.716678118612
Q2 2022,154.791127376302,149.305243963424,155.835295494968,145.489534246999,152.60096290045
Q3 2022,160.824843049475,155.217499187859,162.399777447563,148.151843577575,158.458120311223
Q4 2022,159.522425463101,154.939892903043,162.410922722388,146.891225778461,157.854264463746
Q1 2023,157.271030739716,152.218820632529,157.701848470272,144.16201095816,154.758667970132
Q2 2023,160.985465604974,153.470537899655,158.339228482746,147.963755263197,156.767016049167
Q3 2023,163.991814372177,158.022986187415,165.486485914273,152.481567107918,161.661827773127
Q4 2023,162.68003745299,157.647951130049,162.779020202747,150.763337855809,160.198501307132
Q1 2024,162.347462341133,159.048116298243,163.156972059797,153.156030886367,160.896838696031
